seed,opponent,final_money_A,final_money_D2,delta,d2_won,candidate_stream_valid,first_div_day,first_div_hour,first_div_category,ne_day_A,ne_day_D2,sw_day_A,sw_day_D2,sell_rev_A,sell_rev_D2,wheat_spend_A,wheat_spend_D2
102,starter,70541.00,67941.00,-2600.00,False,True,11,0,HIRE_vs_SELL,6,6,,,83924.00,83362.00,1328.00,3534.00
101,random,69266.00,69385.00,119.00,True,False,7,1,SELL_vs_SELL,6,6,,,84472.00,85055.00,3123.00,3155.00
101,starter,78632.00,79962.00,1330.00,True,True,11,0,HIRE_vs_SELL,6,6,,,93786.00,95125.00,3123.00,3123.00
102,random,64015.00,64018.00,3.00,True,False,7,1,SELL_vs_SELL,6,6,,,77790.00,79670.00,1328.00,3616.00
103,starter,71090.00,70135.00,-955.00,False,True,11,0,HIRE_vs_SELL,6,6,,,85497.00,86201.00,2476.00,3842.00
103,random,63197.00,70623.00,7426.00,True,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,78668.00,85167.00,3405.00,2420.00
104,random,72744.00,67118.00,-5626.00,False,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,87916.00,82924.00,3187.00,3766.00
104,starter,68577.00,67292.00,-1285.00,False,True,11,0,HIRE_vs_SELL,6,6,,,82908.00,83097.00,2460.00,3842.00
105,starter,63551.00,59254.00,-4297.00,False,True,11,0,HIRE_vs_SELL,6,6,,,78136.00,75031.00,2456.00,3584.00
105,random,74139.00,74429.00,290.00,True,False,9,0,PURCHASE_vs_PURCHASE,6,6,,,89039.00,88801.00,2210.00,2242.00
106,random,68409.00,68740.00,331.00,True,True,11,0,HIRE_vs_SELL,6,6,,,82814.00,84310.00,2336.00,3514.00
106,starter,72420.00,69251.00,-3169.00,False,True,11,0,HIRE_vs_SELL,6,6,,,86894.00,84742.00,2404.00,3426.00
107,random,72676.00,60334.00,-12342.00,False,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,87155.00,76038.00,2468.00,3509.00
107,starter,67374.00,62854.00,-4520.00,False,True,11,0,HIRE_vs_SELL,6,6,,,82643.00,78808.00,2916.00,3644.00
108,starter,65358.00,62991.00,-2367.00,False,True,11,0,HIRE_vs_SELL,6,6,,,81528.00,79530.00,3497.00,3961.00
108,random,68542.00,66899.00,-1643.00,False,False,7,1,SELL_vs_SELL,6,6,,,82974.00,82743.00,2416.00,3972.00
109,random,76705.00,66180.00,-10525.00,False,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,92142.00,80741.00,3344.00,2239.00
109,starter,65361.00,60108.00,-5253.00,False,True,11,0,HIRE_vs_SELL,6,6,,,79775.00,76078.00,2420.00,3766.00
110,random,70736.00,70130.00,-606.00,False,False,11,0,HIRE_vs_SELL,6,6,,,85275.00,86069.00,2492.00,3704.00
110,starter,75477.00,74492.00,-985.00,False,True,11,0,HIRE_vs_SELL,6,6,,,90502.00,90428.00,3050.00,3718.00
111,starter,72776.00,73173.00,397.00,True,True,11,0,HIRE_vs_SELL,6,6,,,86996.00,87543.00,2242.00,2242.00
111,random,65327.00,70355.00,5028.00,True,False,8,0,PURCHASE_vs_PURCHASE,6,6,,,80969.00,84896.00,2773.00,2242.00
112,starter,73629.00,71134.00,-2495.00,False,True,11,0,HIRE_vs_SELL,6,6,,,88557.00,87030.00,3000.00,3610.00
112,random,69740.00,70428.00,688.00,True,True,11,0,HIRE_vs_SELL,6,6,,,84967.00,85752.00,3187.00,3187.00
113,starter,73788.00,70628.00,-3160.00,False,True,11,0,HIRE_vs_SELL,6,6,,,88267.00,86234.00,2456.00,3618.00
113,random,70691.00,71108.00,417.00,True,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,85225.00,85497.00,2504.00,2242.00
114,random,75321.00,67578.00,-7743.00,False,True,11,0,HIRE_vs_SELL,6,6,,,89443.00,83270.00,2283.00,3725.00
114,starter,69864.00,70817.00,953.00,True,True,11,0,HIRE_vs_SELL,6,6,,,85045.00,85987.00,3123.00,3123.00
115,starter,67146.00,66098.00,-1048.00,False,True,11,0,HIRE_vs_SELL,6,6,,,81593.00,82079.00,2460.00,3854.00
116,starter,72026.00,64241.00,-7785.00,False,True,11,0,HIRE_vs_SELL,6,6,,,86294.00,79650.00,2264.00,3500.00
115,random,74773.00,69231.00,-5542.00,False,False,7,1,SELL_vs_SELL,6,6,,,88900.00,85081.00,2283.00,3790.00
116,random,70204.00,59391.00,-10813.00,False,True,11,0,HIRE_vs_SELL,6,6,,,84729.00,74846.00,2300.00,3488.00
117,random,66946.00,71409.00,4463.00,True,False,7,0,PURCHASE_vs_PURCHASE,6,6,,,81149.00,86663.00,2227.00,2939.00
117,starter,50605.00,50187.00,-418.00,False,True,11,0,HIRE_vs_SELL,6,6,,,65671.00,65772.00,2605.00,3029.00
118,starter,71200.00,68264.00,-2936.00,False,True,11,0,HIRE_vs_SELL,6,6,,,85580.00,84151.00,2336.00,3792.00
118,random,75835.00,59507.00,-16328.00,False,False,8,0,PURCHASE_vs_PURCHASE,6,6,,,91182.00,74214.00,3046.00,2178.00
