seed,opponent,legacy_final_money,central_final_money,delta,legacy_sw_day,central_sw_day,legacy_feed_failures,central_feed_failures,legacy_unsold_endgame,central_unsold_endgame,central_changed_turns,central_changed_selection_turns,central_reorder_only_turns,central_slot_pressure_turns,central_slot_pressure_selection_rate,central_p0_inversion_count
101,random,34883.0,48704.0,13821.0,,,0,0,0,0,23,5,18,20,0.25,0
102,random,33328.0,47345.0,14017.0,,,0,0,0,0,23,5,18,20,0.25,0
103,random,30251.0,34667.0,4416.0,,,0,0,0,0,24,6,18,20,0.3,0
104,random,36575.0,42538.0,5963.0,,,0,0,0,0,23,5,18,20,0.25,0
105,random,36927.0,43399.0,6472.0,,,0,0,0,0,23,5,18,20,0.25,0
106,random,26823.0,40216.0,13393.0,,,0,0,0,0,23,5,18,20,0.25,0
107,random,37467.0,44781.0,7314.0,,,0,0,0,0,24,6,18,20,0.3,0
108,random,32653.0,43418.0,10765.0,,,0,0,0,0,24,6,18,20,0.3,0
109,random,38162.0,38651.0,489.0,,,0,0,0,0,22,4,18,20,0.2,0
110,random,33734.0,45842.0,12108.0,,,0,0,0,0,24,6,18,20,0.3,0
111,random,36023.0,48807.0,12784.0,,,0,0,0,0,24,6,18,20,0.3,0
112,random,32478.0,47519.0,15041.0,,,0,0,0,0,23,5,18,20,0.25,0
113,random,37290.0,44025.0,6735.0,,,0,0,0,0,23,5,18,20,0.25,0
114,random,36442.0,41749.0,5307.0,,,0,0,0,0,23,5,18,20,0.25,0
115,random,35590.0,45162.0,9572.0,,,0,0,0,0,23,5,18,20,0.25,0
116,random,38075.0,41843.0,3768.0,,,0,0,0,0,23,5,18,20,0.25,0
117,random,37203.0,46673.0,9470.0,,,0,0,0,0,22,4,18,20,0.2,0
118,random,31165.0,40535.0,9370.0,,,0,0,0,0,22,4,18,20,0.2,0
119,random,35286.0,51943.0,16657.0,,,0,0,0,0,24,6,18,20,0.3,0
120,random,38500.0,46140.0,7640.0,,,0,0,0,0,24,6,18,20,0.3,0
121,random,31206.0,50205.0,18999.0,,,0,0,0,0,24,6,18,20,0.3,0
122,random,30472.0,38365.0,7893.0,,,0,0,0,0,24,6,18,20,0.3,0
123,random,35627.0,47158.0,11531.0,,,0,0,0,0,22,4,18,20,0.2,0
124,random,39179.0,51789.0,12610.0,,,0,0,0,0,23,5,18,20,0.25,0
125,random,35752.0,46504.0,10752.0,,,0,0,0,0,23,5,18,20,0.25,0
101,starter,40122.0,50622.0,10500.0,,,0,0,0,0,22,4,18,20,0.2,0
102,starter,38927.0,49654.0,10727.0,,,0,0,0,0,24,6,18,20,0.3,0
103,starter,31517.0,43688.0,12171.0,,,0,0,0,0,24,6,18,20,0.3,0
104,starter,33526.0,39765.0,6239.0,,,0,0,0,0,23,5,18,20,0.25,0
105,starter,34318.0,43257.0,8939.0,,,0,0,0,0,23,5,18,20,0.25,0
106,starter,38908.0,48590.0,9682.0,,,0,0,0,0,23,5,18,20,0.25,0
107,starter,36574.0,46388.0,9814.0,,,0,0,0,0,23,5,18,20,0.25,0
108,starter,31385.0,46395.0,15010.0,,,0,0,0,0,23,5,18,20,0.25,0
109,starter,35233.0,44216.0,8983.0,,,0,0,0,0,23,5,18,20,0.25,0
110,starter,38917.0,49275.0,10358.0,,,0,0,0,0,23,5,18,20,0.25,0
111,starter,38615.0,46457.0,7842.0,,,0,0,0,0,22,4,18,20,0.2,0
112,starter,38703.0,48233.0,9530.0,,,0,0,0,0,23,5,18,20,0.25,0
113,starter,37007.0,47139.0,10132.0,,,0,0,0,0,23,5,18,20,0.25,0
114,starter,33941.0,42799.0,8858.0,,,0,0,0,0,22,4,18,20,0.2,0
115,starter,35450.0,42150.0,6700.0,,,0,0,0,0,23,5,18,20,0.25,0
116,starter,37407.0,43977.0,6570.0,,,0,0,0,0,23,5,18,20,0.25,0
117,starter,32505.0,42226.0,9721.0,,,0,0,0,0,23,5,18,20,0.25,0
118,starter,37323.0,43807.0,6484.0,,,0,0,0,0,23,5,18,20,0.25,0
119,starter,38498.0,48890.0,10392.0,,,0,0,0,0,23,5,18,20,0.25,0
120,starter,37914.0,47193.0,9279.0,,,0,0,0,0,23,5,18,20,0.25,0
121,starter,38749.0,48160.0,9411.0,,,0,0,0,0,23,5,18,20,0.25,0
122,starter,32344.0,40308.0,7964.0,,,0,0,0,0,22,4,18,20,0.2,0
123,starter,37973.0,48012.0,10039.0,,,0,0,0,0,24,6,18,20,0.3,0
124,starter,35555.0,44600.0,9045.0,,,0,0,0,0,22,4,18,20,0.2,0
125,starter,37876.0,47058.0,9182.0,,,0,0,0,0,23,5,18,20,0.25,0
