seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
101,random,expanded_central,48988.0,40.0,48948.0,1,82242.0,75450.0,888.0,3304.0,600.0,2000.0,0.0,21591.58,306.0,948.0,503.0,3571.0,20634.0,30065.0,47399.0,0.5957,1,6,,2,56,94,0,1,0,20,22,4,18,0,0
101,random,expanded_legacy,38542.0,0.0,38542.0,1,80249.0,75450.0,874.0,1325.0,600.0,2000.0,0.0,20467.48,303.0,947.0,500.0,3826.0,19737.0,31751.0,39294.0,0.4803,1,6,,2,58,44,0,1,0,0,0,0,0,0,0
101,random,historical_candidates_central,68297.0,0.0,68297.0,1,83746.0,75450.0,1699.0,3997.0,600.0,2000.0,0.0,23005.98,303.0,947.0,500.0,2562.0,19795.0,27617.0,63886.0,0.8155,1,6,,2,154,118,0,2,0,8,25,6,19,0,60
101,random,historical_stack,76835.0,0.0,76835.0,1,83719.0,75450.0,1703.0,3966.0,600.0,2000.0,0.0,23630.97,304.0,948.0,538.0,3548.0,14035.0,28023.0,66480.0,0.9178,1,6,,2,165,126,0,0,0,0,0,0,0,0,59
101,starter,expanded_central,50622.0,3419.0,47203.0,1,82092.0,75450.0,888.0,3154.0,600.0,2000.0,0.0,21952.18,306.0,948.0,503.0,3539.0,20568.0,30034.0,49033.0,0.6166,1,6,,2,56,94,0,1,0,20,22,4,18,0,0
101,starter,expanded_legacy,40122.0,3419.0,36703.0,1,80262.0,75450.0,888.0,1324.0,600.0,2000.0,0.0,20389.95,306.0,948.0,503.0,3539.0,19240.0,30414.0,40874.0,0.4999,1,6,,2,56,44,0,1,0,0,0,0,0,0,0
101,starter,historical_candidates_central,79962.0,3381.0,76581.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,24835.71,306.0,948.0,503.0,2869.0,16541.0,29108.0,71280.0,0.96,1,6,,2,155,112,0,1,0,4,23,3,20,0,59
101,starter,historical_stack,78632.0,3391.0,75241.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,24567.11,306.0,948.0,503.0,2869.0,15627.0,29138.0,70196.0,0.944,1,6,,2,155,112,0,2,0,0,0,0,0,0,59
102,random,expanded_central,47959.0,0.0,47959.0,1,82229.0,75450.0,874.0,3305.0,600.0,2000.0,0.0,21806.98,303.0,947.0,500.0,3826.0,21658.0,31255.0,46389.0,0.5832,1,6,,2,58,94,0,1,0,20,23,5,18,0,0
102,random,expanded_legacy,34958.0,0.0,34958.0,1,80249.0,75450.0,874.0,1325.0,600.0,2000.0,0.0,19345.84,303.0,947.0,500.0,3758.0,19564.0,30812.0,35710.0,0.4356,1,6,,2,58,44,0,1,0,0,0,0,0,0,0
