seed,opponent,legacy_final_money,central_final_money,delta,legacy_sw_day,central_sw_day,legacy_feed_failures,central_feed_failures,legacy_unsold_endgame,central_unsold_endgame,central_changed_turns,central_changed_selection_turns,central_reorder_only_turns,central_slot_pressure_turns,central_slot_pressure_selection_rate,central_p0_inversion_count
101,random,74544.0,48674.0,-25870.0,,,0,0,0,0,23,5,18,20,0.25,0
102,random,67937.0,45004.0,-22933.0,,,0,0,0,0,23,5,18,20,0.25,0
103,random,68072.0,41500.0,-26572.0,,,0,0,0,0,22,4,18,21,0.1905,0
104,random,73419.0,43805.0,-29614.0,,,0,0,0,0,23,5,18,20,0.25,0
105,random,68691.0,46743.0,-21948.0,,,0,0,0,0,23,5,18,20,0.25,0
106,random,63131.0,45887.0,-17244.0,,,0,0,0,0,23,5,18,20,0.25,0
107,random,73125.0,41095.0,-32030.0,,,0,0,0,0,23,5,18,20,0.25,0
108,random,72965.0,48033.0,-24932.0,,,0,0,0,0,24,6,18,20,0.3,0
109,random,74327.0,48187.0,-26140.0,,,0,0,0,0,24,6,18,20,0.3,0
110,random,67685.0,47967.0,-19718.0,,,0,0,0,0,24,6,18,20,0.3,0
111,random,77679.0,40821.0,-36858.0,,,0,0,0,0,23,5,18,20,0.25,0
112,random,76148.0,42794.0,-33354.0,,,0,0,0,0,22,4,18,20,0.2,0
113,random,73031.0,43521.0,-29510.0,,,0,0,0,0,23,5,18,20,0.25,0
114,random,69816.0,47274.0,-22542.0,,,0,0,0,0,24,6,18,20,0.3,0
115,random,72386.0,44899.0,-27487.0,,,0,0,0,0,23,5,18,20,0.25,0
116,random,65941.0,48345.0,-17596.0,,,0,0,0,0,24,6,18,20,0.3,0
117,random,74090.0,39749.0,-34341.0,,,0,0,0,0,23,5,18,21,0.2381,0
118,random,68260.0,41655.0,-26605.0,,,0,0,0,0,23,5,18,20,0.25,0
119,random,71118.0,41620.0,-29498.0,,,0,0,0,0,23,5,18,21,0.2381,0
120,random,75921.0,46956.0,-28965.0,,,0,0,0,0,24,6,18,20,0.3,0
121,random,65085.0,45507.0,-19578.0,,,0,0,0,0,23,5,18,20,0.25,0
122,random,75241.0,41971.0,-33270.0,,,0,0,0,0,23,5,18,20,0.25,0
123,random,75095.0,49754.0,-25341.0,,,0,0,0,0,24,6,18,20,0.3,0
124,random,64464.0,47535.0,-16929.0,,,0,0,0,0,23,5,18,20,0.25,0
125,random,76337.0,51381.0,-24956.0,,,0,0,0,0,24,6,18,20,0.3,0
101,starter,78632.0,50622.0,-28010.0,,,0,0,0,0,22,4,18,20,0.2,0
102,starter,70541.0,49654.0,-20887.0,,,0,0,0,0,24,6,18,20,0.3,0
103,starter,71090.0,43688.0,-27402.0,,,0,0,0,0,24,6,18,20,0.3,0
104,starter,68577.0,39765.0,-28812.0,,,0,0,0,0,23,5,18,20,0.25,0
105,starter,63551.0,43257.0,-20294.0,,,0,0,0,0,23,5,18,20,0.25,0
106,starter,72420.0,48590.0,-23830.0,,,0,0,0,0,23,5,18,20,0.25,0
107,starter,67374.0,46388.0,-20986.0,,,0,0,0,0,23,5,18,20,0.25,0
108,starter,65358.0,46395.0,-18963.0,,,0,0,0,0,23,5,18,20,0.25,0
109,starter,65361.0,44216.0,-21145.0,,,0,0,0,0,23,5,18,20,0.25,0
110,starter,75477.0,49275.0,-26202.0,,,0,0,0,0,23,5,18,20,0.25,0
111,starter,72776.0,46457.0,-26319.0,,,0,0,0,0,22,4,18,20,0.2,0
112,starter,73629.0,48233.0,-25396.0,,,0,0,0,0,23,5,18,20,0.25,0
113,starter,73788.0,47139.0,-26649.0,,,0,0,0,0,23,5,18,20,0.25,0
114,starter,69864.0,42799.0,-27065.0,,,0,0,0,0,22,4,18,20,0.2,0
115,starter,67146.0,42150.0,-24996.0,,,0,0,0,0,23,5,18,20,0.25,0
116,starter,72026.0,43977.0,-28049.0,,,0,0,0,0,23,5,18,20,0.25,0
117,starter,50605.0,42226.0,-8379.0,,,0,0,0,0,23,5,18,20,0.25,0
118,starter,71200.0,43807.0,-27393.0,,,0,0,0,0,23,5,18,20,0.25,0
119,starter,72654.0,48890.0,-23764.0,,,0,0,0,0,23,5,18,20,0.25,0
120,starter,74091.0,47193.0,-26898.0,,,0,0,0,0,23,5,18,20,0.25,0
121,starter,73359.0,48160.0,-25199.0,,,0,0,0,0,23,5,18,20,0.25,0
122,starter,64744.0,40308.0,-24436.0,,,0,0,0,0,22,4,18,20,0.2,0
123,starter,70257.0,48012.0,-22245.0,,,0,0,0,0,24,6,18,20,0.3,0
124,starter,65870.0,44600.0,-21270.0,,,0,0,0,0,22,4,18,20,0.2,0
125,starter,73191.0,47058.0,-26133.0,,,0,0,0,0,23,5,18,20,0.25,0
