seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
101,random,historical_candidates_central,75819.0,0.0,75819.0,1,82294.0,75450.0,1719.0,2525.0,600.0,2000.0,0.0,24310.25,306.0,948.0,538.0,3177.0,14538.0,30098.0,67827.0,0.9213,1,6,,2,158,81,0,0,0,6,6,1,5,0,61
101,random,historical_stack,71851.0,40.0,71811.0,1,82998.0,75450.0,1702.0,3246.0,600.0,2000.0,0.0,22807.38,306.0,948.0,563.0,3061.0,13927.0,27349.0,65823.0,0.8657,1,6,,2,154,108,0,0,0,0,0,0,0,0,58
101,starter,historical_candidates_central,79962.0,3381.0,76581.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,24835.71,306.0,948.0,503.0,2869.0,16541.0,29108.0,71280.0,0.96,1,6,,2,155,112,0,1,0,4,6,3,3,0,59
101,starter,historical_stack,78632.0,3391.0,75241.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,24567.11,306.0,948.0,503.0,2869.0,15627.0,29138.0,70196.0,0.944,1,6,,2,155,112,0,2,0,0,0,0,0,0,59
102,random,historical_candidates_central,70184.0,0.0,70184.0,1,82852.0,75450.0,1741.0,3061.0,600.0,2000.0,0.0,23364.99,303.0,947.0,500.0,3121.0,17593.0,29271.0,61562.0,0.8471,1,6,,2,154,96,0,2,0,10,7,4,3,0,64
102,random,historical_stack,59780.0,0.0,59780.0,1,82506.0,75450.0,1707.0,2749.0,600.0,2000.0,0.0,21496.41,303.0,947.0,500.0,2944.0,17873.0,28815.0,54909.0,0.7246,1,6,,2,155,84,0,3,0,0,0,0,0,0,59
102,starter,historical_candidates_central,70594.0,3663.0,66931.0,1,81277.0,75450.0,1716.0,1511.0,600.0,2000.0,0.0,23301.49,303.0,947.0,579.0,3256.0,15261.0,28872.0,64383.0,0.8686,1,6,,2,163,50,0,0,0,6,5,1,4,0,60
102,starter,historical_stack,70541.0,3663.0,66878.0,1,81277.0,75450.0,1716.0,1511.0,600.0,2000.0,0.0,23292.63,303.0,947.0,579.0,3256.0,15261.0,28872.0,64383.0,0.8679,1,6,,2,163,50,0,0,0,0,0,0,0,0,60
103,random,historical_candidates_central,67825.0,0.0,67825.0,1,82444.0,75450.0,1702.0,2692.0,600.0,2000.0,0.0,22182.98,303.0,947.0,611.0,2787.0,18606.0,26616.0,61536.0,0.8227,1,6,,2,154,83,0,1,0,7,6,3,3,0,56
103,random,historical_stack,62511.0,0.0,62511.0,1,82322.0,75450.0,1702.0,2570.0,600.0,2000.0,0.0,20489.12,306.0,948.0,563.0,2436.0,15511.0,24337.0,57340.0,0.7593,1,6,,2,154,85,0,1,0,0,0,0,0,0,57
103,starter,historical_candidates_central,71170.0,3356.0,67814.0,1,82444.0,75450.0,1702.0,2692.0,600.0,2000.0,0.0,23170.51,303.0,947.0,611.0,2821.0,18800.0,27871.0,64584.0,0.8633,1,6,,2,154,83,0,1,0,7,6,3,3,0,56
103,starter,historical_stack,71090.0,3356.0,67734.0,1,82444.0,75450.0,1702.0,2692.0,600.0,2000.0,0.0,23031.96,303.0,947.0,611.0,2821.0,17688.0,27921.0,64793.0,0.8623,1,6,,2,154,83,0,1,0,0,0,0,0,0,56
104,random,historical_candidates_central,73603.0,0.0,73603.0,1,82426.0,75450.0,1707.0,2669.0,600.0,2000.0,0.0,23949.47,303.0,947.0,500.0,2957.0,18795.0,29276.0,66596.0,0.893,1,6,,2,155,82,0,2,0,9,8,4,4,0,59
104,random,historical_stack,70907.0,0.0,70907.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,23351.86,306.0,948.0,538.0,3098.0,15916.0,28856.0,64704.0,0.8618,1,6,,2,154,81,0,2,0,0,0,0,0,0,58
104,starter,historical_candidates_central,69257.0,3548.0,65709.0,1,82465.0,75450.0,1702.0,2713.0,600.0,2000.0,0.0,22419.47,303.0,947.0,516.0,2652.0,17073.0,27074.0,62713.0,0.8398,1,6,,2,154,84,0,2,0,6,7,3,4,0,57
104,starter,historical_stack,68577.0,3548.0,65029.0,1,82465.0,75450.0,1702.0,2713.0,600.0,2000.0,0.0,22200.6,303.0,947.0,516.0,2652.0,15448.0,27103.0,62163.0,0.8316,1,6,,2,154,84,0,2,0,0,0,0,0,0,57
105,random,historical_candidates_central,76046.0,0.0,76046.0,1,82237.0,75450.0,1694.0,2493.0,600.0,2000.0,0.0,24011.46,303.0,947.0,577.0,2820.0,15898.0,28317.0,68683.0,0.9247,1,6,,2,153,77,0,1,0,9,7,2,5,0,54
105,random,historical_stack,68593.0,0.0,68593.0,1,82556.0,75450.0,1759.0,2747.0,600.0,2000.0,0.0,22552.3,314.0,947.0,639.0,3463.0,15902.0,27738.0,62139.0,0.8309,1,6,,2,165,86,0,1,0,0,0,0,0,0,60
105,starter,historical_candidates_central,63156.0,3357.0,59799.0,1,82378.0,75450.0,1699.0,2629.0,600.0,2000.0,0.0,22108.49,303.0,947.0,500.0,2928.0,18681.0,28958.0,57521.0,0.7667,1,6,,2,154,82,0,2,0,9,8,4,4,0,58
105,starter,historical_stack,63551.0,3357.0,60194.0,1,82458.0,75450.0,1699.0,2709.0,600.0,2000.0,0.0,21995.02,303.0,947.0,500.0,2928.0,17790.0,28992.0,57643.0,0.7707,1,6,,2,154,84,0,3,0,0,0,0,0,0,58
106,random,historical_candidates_central,65902.0,0.0,65902.0,1,82342.0,75450.0,1707.0,2585.0,600.0,2000.0,0.0,21645.78,303.0,947.0,500.0,2552.0,18087.0,26475.0,59491.0,0.8003,1,6,,2,155,80,0,2,0,8,7,3,4,0,58
106,random,historical_stack,57650.0,0.0,57650.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,20987.48,306.0,948.0,538.0,3081.0,15154.0,27807.0,53908.0,0.7007,1,6,,2,154,81,0,1,0,0,0,0,0,0,58
106,starter,historical_candidates_central,72738.0,3395.0,69343.0,1,82376.0,75450.0,1707.0,2619.0,600.0,2000.0,0.0,23388.44,303.0,947.0,500.0,2781.0,18411.0,27980.0,65806.0,0.883,1,6,,2,155,82,0,2,0,9,8,4,4,0,59
106,starter,historical_stack,72420.0,3395.0,69025.0,1,82450.0,75450.0,1707.0,2693.0,600.0,2000.0,0.0,23138.19,303.0,947.0,500.0,2781.0,17524.0,28018.0,65166.0,0.8784,1,6,,2,155,84,0,3,0,0,0,0,0,0,59
