seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
101,random,historical_candidates_central,64318.0,0.0,64318.0,1,83745.0,75450.0,1363.0,4332.0,600.0,2000.0,0.0,22572.14,303.0,947.0,510.0,3312.0,19984.0,29373.0,57801.0,0.768,1,6,,2,139,137,0,1,0,6,7,2,5,0,66
101,random,historical_stack,63476.0,60.0,63416.0,1,82978.0,75450.0,1392.0,3536.0,600.0,2000.0,0.0,21617.58,306.0,948.0,563.0,3195.0,16911.0,27481.0,57672.0,0.765,1,6,,2,143,116,0,1,0,0,0,0,0,0,61
101,starter,historical_candidates_central,72048.0,3391.0,68657.0,1,82983.0,75450.0,1397.0,3536.0,600.0,2000.0,0.0,23243.99,306.0,948.0,503.0,3069.0,18301.0,28448.0,63584.0,0.8682,1,6,,2,144,112,0,1,0,4,5,2,3,0,61
101,starter,historical_stack,72115.0,3391.0,68724.0,1,82983.0,75450.0,1397.0,3536.0,600.0,2000.0,0.0,23170.59,306.0,948.0,503.0,3069.0,17418.0,28487.0,63623.0,0.869,1,6,,2,144,112,0,2,0,0,0,0,0,0,61
102,random,historical_candidates_central,64340.0,0.0,64340.0,1,84038.0,75450.0,1345.0,4643.0,600.0,2000.0,0.0,22939.7,303.0,947.0,516.0,3302.0,19330.0,30907.0,58117.0,0.7656,1,6,,2,139,138,0,1,0,7,6,2,4,0,65
102,random,historical_stack,53388.0,0.0,53388.0,1,82759.0,75450.0,1362.0,3347.0,600.0,2000.0,0.0,20867.19,303.0,947.0,516.0,3312.0,16905.0,29908.0,50537.0,0.6451,1,6,,2,146,101,0,1,0,0,0,0,0,0,64
102,starter,historical_candidates_central,65402.0,4224.0,61178.0,1,83821.0,75450.0,1368.0,4403.0,600.0,2000.0,0.0,22051.22,303.0,947.0,510.0,3474.0,20762.0,29880.0,54062.0,0.7803,1,6,,2,140,136,0,0,0,6,7,2,5,0,65
102,starter,historical_stack,61242.0,3896.0,57346.0,1,82610.0,75450.0,1367.0,3193.0,600.0,2000.0,0.0,21961.64,303.0,947.0,510.0,3474.0,19113.0,29497.0,55847.0,0.7413,1,6,,2,147,100,0,0,0,0,0,0,0,0,65
103,random,historical_candidates_central,59959.0,0.0,59959.0,1,84852.0,75450.0,1366.0,5436.0,600.0,2000.0,0.0,22117.07,303.0,947.0,571.0,3353.0,20800.0,30533.0,54125.0,0.7066,1,6,,2,139,171,0,1,0,6,6,2,4,0,67
103,random,historical_stack,69032.0,0.0,69032.0,1,83748.0,75450.0,1362.0,4336.0,600.0,2000.0,0.0,23523.63,303.0,947.0,571.0,3353.0,19114.0,30753.0,63010.0,0.8243,1,6,,2,146,135,0,1,0,0,0,0,0,0,65
103,starter,historical_candidates_central,60705.0,3395.0,57310.0,1,83714.0,75450.0,1347.0,4317.0,600.0,2000.0,0.0,21310.49,303.0,947.0,611.0,2886.0,20015.0,28995.0,53887.0,0.7251,1,6,,2,140,128,0,1,0,4,4,2,2,0,63
103,starter,historical_stack,61705.0,3375.0,58330.0,1,83724.0,75450.0,1357.0,4317.0,600.0,2000.0,0.0,21207.93,303.0,947.0,611.0,2886.0,18071.0,28159.0,55001.0,0.737,1,6,,2,145,128,0,1,0,0,0,0,0,0,62
104,random,historical_candidates_central,67317.0,0.0,67317.0,1,83034.0,75450.0,1420.0,3564.0,600.0,2000.0,0.0,21375.59,306.0,948.0,573.0,3481.0,16995.0,27338.0,55340.0,0.8107,1,6,,2,148,122,0,1,0,7,7,2,5,0,58
104,random,historical_stack,68091.0,0.0,68091.0,1,82759.0,75450.0,1362.0,3347.0,600.0,2000.0,0.0,22956.29,303.0,947.0,516.0,3297.0,16828.0,29546.0,62033.0,0.8228,1,6,,2,146,101,0,1,0,0,0,0,0,0,64
104,starter,historical_candidates_central,54649.0,3578.0,51071.0,1,84984.0,75450.0,1379.0,5555.0,600.0,2000.0,0.0,19694.2,303.0,947.0,516.0,3042.0,17968.0,26658.0,47824.0,0.6431,1,6,,2,141,164,0,1,0,5,7,2,5,0,67
104,starter,historical_stack,56754.0,3522.0,53232.0,1,82598.0,75450.0,1357.0,3191.0,600.0,2000.0,0.0,19982.17,303.0,947.0,516.0,3042.0,16026.0,27133.0,51080.0,0.6871,1,6,,2,145,98,0,1,0,0,0,0,0,0,62
