day,plant,water,harvest,dig,units,seed_cost,direct_actions,route_allowance,deposit_allowance,total_budget,available_hours_per_early_hired_hand,worker_lower_bound
0,0,0,0,0,{},0,0,0,0,0,23,0
1,0,0,0,0,{},0,0,0,0,0,23,0
2,0,0,0,0,{},0,0,0,0,0,23,0
3,0,0,0,0,{},0,0,0,0,0,23,0
4,0,0,0,0,{},0,0,0,0,0,23,0
5,0,0,0,0,{},0,0,0,0,0,23,0
6,9,9,0,0,{},570,18,30,0,48,23,3
7,9,9,0,0,{},570,18,30,0,48,23,3
8,6,15,0,0,{},380,21,30,0,51,23,3
9,0,12,0,0,{},0,12,30,0,42,23,2
10,0,18,3,0,{'WHEAT': 12},0,21,30,8,59,23,3
11,3,14,3,0,{'WHEAT': 12},30,20,30,8,58,23,3
12,3,15,2,0,{'WHEAT': 8},30,20,30,8,58,23,3
13,2,14,0,0,{},20,16,30,0,46,23,2
14,0,19,0,0,{},0,19,30,0,49,23,3
15,0,19,3,0,{'WHEAT': 12},0,22,30,8,60,23,3
16,3,21,6,0,"{'MELON': 18, 'WHEAT': 12}",30,30,30,8,68,23,3
17,6,16,5,0,"{'MELON': 18, 'WHEAT': 8}",270,27,30,8,65,23,3
18,5,15,2,0,{'MELON': 12},260,22,30,8,60,23,3
19,2,14,0,0,{},160,16,30,0,46,23,2
20,0,16,3,0,{'WHEAT': 12},0,19,30,8,57,23,3
21,3,16,3,0,{'WHEAT': 12},30,22,30,8,60,23,3
22,3,10,5,3,"{'STRAWBERRY': 12, 'WHEAT': 8}",30,21,30,8,59,23,3
23,5,13,3,3,{'STRAWBERRY': 12},50,24,30,8,62,23,3
24,3,15,2,2,{'STRAWBERRY': 8},30,22,30,8,60,23,3
25,2,21,3,0,{'WHEAT': 12},20,26,30,8,64,23,3
26,3,22,3,0,{'WHEAT': 12},60,28,30,8,66,23,3
27,0,18,8,0,"{'MELON': 18, 'WHEAT': 20}",0,26,30,8,64,23,3
28,0,13,6,0,"{'MELON': 18, 'WHEAT': 12}",0,19,30,8,57,23,3
29,0,7,7,0,"{'CARROT': 9, 'MELON': 12, 'WHEAT': 8}",0,14,30,8,52,22,3
