scenario,product,day,mean,p5,p25,median,p75,p95
town_only,WHEAT,0,26.00,26.00,26.00,26.00,26.00,26.00
town_only,WHEAT,1,26.00,26.00,26.00,26.00,26.00,26.00
town_only,WHEAT,2,27.00,27.00,27.00,27.00,27.00,27.00
town_only,WHEAT,3,27.63,27.00,27.00,28.00,28.00,28.00
town_only,WHEAT,4,28.26,27.00,27.00,29.00,29.00,29.00
town_only,WHEAT,5,28.90,27.00,27.00,30.00,30.00,30.00
town_only,WHEAT,6,30.12,28.00,29.00,31.00,31.00,31.00
town_only,WHEAT,7,30.52,28.00,29.00,31.00,32.00,32.00
town_only,WHEAT,8,31.38,28.00,30.00,32.00,33.00,33.00
town_only,WHEAT,9,32.24,28.00,31.00,33.00,34.00,34.00
town_only,WHEAT,10,32.80,28.00,32.00,33.00,34.00,35.00
town_only,WHEAT,11,33.57,28.00,33.00,34.00,35.00,36.00
town_only,WHEAT,12,34.59,29.00,34.00,35.00,36.00,37.00
town_only,WHEAT,13,35.38,30.00,34.00,35.00,37.00,38.00
town_only,WHEAT,14,36.00,31.00,34.00,36.00,38.00,39.00
town_only,WHEAT,15,36.93,32.00,35.00,37.00,39.00,40.00
town_only,WHEAT,16,37.68,33.00,36.00,38.00,39.00,41.00
town_only,WHEAT,17,38.31,33.00,37.00,39.00,40.00,42.00
town_only,WHEAT,18,39.27,35.00,38.00,40.00,41.00,43.00
town_only,WHEAT,19,40.04,35.00,38.00,40.00,42.00,44.00
town_only,WHEAT,20,40.91,36.00,39.00,41.00,43.00,45.00
town_only,WHEAT,21,41.59,36.00,40.00,42.00,44.00,46.00
town_only,WHEAT,22,42.37,37.00,41.00,43.00,45.00,47.00
town_only,WHEAT,23,43.18,38.00,42.00,44.00,45.00,48.00
town_only,WHEAT,24,44.03,38.00,42.00,44.00,46.00,49.00
town_only,WHEAT,25,44.79,39.00,43.00,45.00,47.00,49.00
town_only,WHEAT,26,45.58,40.00,44.00,46.00,48.00,50.00
town_only,WHEAT,27,46.25,40.00,44.00,47.00,49.00,51.00
town_only,WHEAT,28,47.00,41.00,45.00,47.00,49.00,52.00
town_only,WHEAT,29,47.64,42.00,46.00,48.00,50.00,53.00
town_only,CARROT,0,35.00,35.00,35.00,35.00,35.00,35.00
town_only,CARROT,1,35.00,35.00,35.00,35.00,35.00,35.00
town_only,CARROT,2,35.00,35.00,35.00,35.00,35.00,35.00
town_only,CARROT,3,35.25,35.00,35.00,35.00,36.00,36.00
