seed,opponent,seat,step,day,hour,available_workers,opening_cash,closing_cash,actions:WEST,NW:empty,shed:WHEAT,shed:CARROT,shed:TOMATO,shed:STRAWBERRY,shed:MELON,shed:EGG,shed:MILK,shed:WOOL,shed:FERTILIZER,shed:GOOSE,shed:COW,shed:SHEEP,actions:BUILD_PASTURE,actions:NORTH,actions:EAST,NW:other:PASTURE,actions:PICKUP,actions:SOUTH,actions:PLANT,carried:COW,actions:PLACE,actions:WATER,NW:crop:WHEAT,NW:yield_present:WHEAT,NW:yield_units:WHEAT,NW:unwatered,NW:animal:COW,NW:unfed,NW:crop:MELON,NW:yield_present:MELON,NW:yield_units:MELON,carried:WHEAT,actions:CARE,actions:FEED,actions:PASS,actions:COLLECT_FERTILIZER,carried:FERTILIZER,NW:mature:WHEAT,NW:mature_units:WHEAT,NW:crop:TOMATO,actions:HARVEST,NE:empty,NE:crop:CARROT,NE:yield_present:CARROT,NE:yield_units:CARROT,NE:unwatered,NE:crop:TOMATO,NE:crop:WHEAT,NE:yield_present:WHEAT,NE:yield_units:WHEAT,NE:crop:STRAWBERRY,NE:mature:WHEAT,NE:mature_units:WHEAT,NE:mature:CARROT,NE:mature_units:CARROT,carried:MILK,carried:CARROT,NE:other:PASTURE,carried:SHEEP,NW:mature:MELON,NW:mature_units:MELON,carried:MELON,NW:crop:CARROT,NW:yield_present:CARROT,NW:yield_units:CARROT,actions:FERTILIZE,NW:animal:SHEEP,NW:yield_present:TOMATO,NW:yield_units:TOMATO,NW:mature:TOMATO,NW:mature_units:TOMATO,NE:animal:SHEEP,NE:unfed,NE:animal:COW,NW:mature:CARROT,NW:mature_units:CARROT,NW:crop:STRAWBERRY,carried:TOMATO,NE:yield_present:TOMATO,NE:yield_units:TOMATO,NE:mature:TOMATO,NE:mature_units:TOMATO,NE:crop:MELON,NE:yield_present:MELON,NE:yield_units:MELON,NW:other:WEED,actions:DIG,NE:yield_present:STRAWBERRY,NE:yield_units:STRAWBERRY,NE:mature:STRAWBERRY,NE:mature_units:STRAWBERRY,carried:STRAWBERRY,carried:WOOL,NE:other:WEED,NW:yield_present:STRAWBERRY,NW:yield_units:STRAWBERRY,NW:mature:STRAWBERRY,NW:mature_units:STRAWBERRY,NE:mature:MELON,NE:mature_units:MELON,actions:DROP
96401,cow_milk_engine,0,0,0,0,1,3000.0,881.0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,1,0,1,5,881.0,937.0,,25,10,0,0,0,0,0,0,0,0,0,2,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,2,0,2,5,937.0,937.0,1,24,8,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,3,0,3,5,937.0,937.0,2,23,8,0,0,0,0,0,0,0,0,0,2,0,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,4,0,4,5,937.0,937.0,2,23,8,0,0,0,0,0,0,0,0,0,1,0,,1,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,5,0,5,5,937.0,937.0,1,21,8,0,0,0,0,0,0,0,0,0,1,0,,1,,2,,,,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,6,0,6,5,937.0,937.0,1,21,8,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,,1,1,,,,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,7,0,7,5,937.0,937.0,,20,8,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,,2,,,1,3,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,8,0,8,5,937.0,937.0,2,18,7,0,0,0,0,0,0,0,0,0,1,0,,,,1,1,,,,,2,4,4,4,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,9,0,9,5,937.0,937.0,2,18,7,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,1,1,,,4,4,4,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
