seed,opponent,seat,product,initial,bought,harvested_or_collected,sold,discarded,used,final,residual
96401,cow_milk_engine,0,WHEAT,0,851,416,1026,18,220,3,0
96401,cow_milk_engine,0,FERTILIZER,0,0,230,189,13,26,2,0
96401,cow_milk_engine,1,WHEAT,0,858,396,1021,11,219,3,0
96401,cow_milk_engine,1,FERTILIZER,0,0,228,198,7,19,4,0
96401,full_production_agent,0,WHEAT,0,1005,385,1159,26,205,0,0
96401,full_production_agent,0,FERTILIZER,0,0,218,182,5,29,2,0
96401,full_production_agent,1,WHEAT,0,1005,385,1159,26,205,0,0
96401,full_production_agent,1,FERTILIZER,0,0,218,182,5,29,2,0
96401,melon_sniper,0,WHEAT,0,953,405,1115,45,198,0,0
96401,melon_sniper,0,FERTILIZER,0,0,217,183,7,26,1,0
96401,melon_sniper,1,WHEAT,0,953,405,1115,45,198,0,0
96401,melon_sniper,1,FERTILIZER,0,0,217,183,7,26,1,0
96401,pass,0,WHEAT,0,776,379,946,6,203,0,0
96401,pass,0,FERTILIZER,0,0,198,167,0,30,1,0
96401,pass,1,WHEAT,0,794,366,953,1,202,4,0
96401,pass,1,FERTILIZER,0,0,201,168,0,31,2,0
96401,pure_wheat_rush,0,WHEAT,0,1134,367,1210,38,253,0,0
96401,pure_wheat_rush,0,FERTILIZER,0,0,256,220,11,23,2,0
96401,pure_wheat_rush,1,WHEAT,0,1134,367,1210,38,253,0,0
96401,pure_wheat_rush,1,FERTILIZER,0,0,256,220,11,23,2,0
